member,checkin,checkout
100005,2020-04-29T02:08:09Z,2020-04-29T03:10:09Z
100006,2020-04-01T04:06:28Z,2020-04-01T06:01:28Z
100006,2020-04-09T14:20:18Z,2020-04-09T14:51:18Z
100006,2020-04-10T05:02:26Z,2020-04-10T05:48:26Z
100006,2020-04-22T05:25:41Z,2020-04-22T06:08:41Z
100006,2020-04-22T07:15:38Z,2020-04-22T07:39:38Z
100006,2020-04-23T03:22:09Z,2020-04-23T05:07:09Z
100006,2020-04-25T03:57:25Z,2020-04-25T04:19:25Z
100006,2020-04-25T16:09:54Z,2020-04-25T17:24:54Z
100006,2020-04-28T12:33:38Z,2020-04-28T12:58:38Z
100007,2020-04-05T19:24:54Z,2020-04-05T20:05:54Z
100007,2020-04-06T11:26:07Z,2020-04-06T12:10:07Z
100007,2020-04-13T15:49:18Z,2020-04-13T17:48:18Z
100007,2020-04-17T20:30:50Z,2020-04-17T21:00:50Z
100007,2020-04-24T07:48:56Z,2020-04-24T08:44:56Z
100007,2020-04-27T19:57:37Z,2020-04-27T21:47:37Z
100007,2020-04-28T02:38:04Z,2020-04-28T03:50:04Z
100007,2020-04-28T16:28:26Z,2020-04-28T17:04:26Z
100007,2020-04-29T11:59:38Z,2020-04-29T13:15:38Z
100008,2020-04-01T21:25:09Z,2020-04-01T22:01:09Z
100008,2020-04-06T16:28:49Z,2020-04-06T17:46:49Z
100008,2020-04-08T17:33:30Z,2020-04-08T18:32:30Z
100008,2020-04-11T06:00:39Z,2020-04-11T07:50:39Z
100008,2020-04-15T23:37:51Z,2020-04-16T00:12:51Z
100008,2020-04-16T20:08:53Z,2020-04-16T20:37:53Z
100008,2020-04-20T12:50:13Z,2020-04-20T14:05:13Z
100008,2020-04-23T02:15:29Z,2020-04-23T03:09:29Z
100008,2020-04-23T04:26:42Z,2020-04-23T05:16:42Z
100008,2020-04-24T18:09:57Z,2020-04-24T18:58:57Z
100009,2020-04-01T04:26:59Z,2020-04-01T05:10:59Z
100009,2020-04-02T17:13:11Z,2020-04-02T18:06:11Z
100009,2020-04-09T02:36:32Z,2020-04-09T04:28:32Z
100009,2020-04-11T20:32:40Z,2020-04-11T21:25:40Z
100009,2020-04-13T09:23:34Z,2020-04-13T09:49:34Z
100009,2020-04-13T12:16:01Z,2020-04-13T13:39:01Z
100009,2020-04-17T12:45:54Z,2020-04-17T14:26:54Z
100009,2020-04-23T17:47:23Z,2020-04-23T18:38:23Z
100009,2020-04-29T07:42:11Z,2020-04-29T08:22:11Z
100009,2020-04-29T14:56:11Z,2020-04-29T15:29:11Z
100010,2020-03-31T22:16:12Z,2020-03-31T23:33:12Z
100010,2020-04-04T09:50:57Z,2020-04-04T10:13:57Z
100010,2020-04-04T11:10:33Z,2020-04-04T12:32:33Z
100010,2020-04-11T01:44:17Z,2020-04-11T02:45:17Z
100010,2020-04-18T05:23:57Z,2020-04-18T05:54:57Z
100010,2020-04-20T19:12:35Z,2020-04-20T20:30:35Z
100010,2020-04-23T08:07:04Z,2020-04-23T09:45:04Z
100010,2020-04-24T22:10:04Z,2020-04-24T22:56:04Z
100010,2020-04-25T03:47:32Z,2020-04-25T05:27:32Z
100010,2020-04-30T06:32:10Z,2020-04-30T07:14:10Z
100010,2020-04-30T19:38:51Z,2020-04-30T20:44:51Z
100010,2020-04-30T20:49:25Z,2020-04-30T22:32:25Z
100011,2020-04-02T08:28:53Z,2020-04-02T09:09:53Z
100011,2020-04-04T16:31:30Z,2020-04-04T17:59:30Z
100011,2020-04-05T14:06:58Z,2020-04-05T15:37:58Z
100011,2020-04-06T13:31:40Z,2020-04-06T14:18:40Z
100011,2020-04-07T12:22:45Z,2020-04-07T12:52:45Z
100011,2020-04-08T15:03:47Z,2020-04-08T15:38:47Z
100011,2020-04-12T20:03:26Z,2020-04-12T21:56:26Z
100011,2020-04-15T08:13:31Z,2020-04-15T08:34:31Z
100011,2020-04-16T17:58:35Z,2020-04-16T18:47:35Z
100011,2020-04-18T04:39:05Z,2020-04-18T05:07:05Z
100012,2020-04-02T22:22:26Z,2020-04-02T22:56:26Z
100012,2020-04-05T09:27:04Z,2020-04-05T11:15:04Z
100012,2020-04-06T12:53:14Z,2020-04-06T14:06:14Z
100012,2020-04-11T11:42:04Z,2020-04-11T12:11:04Z
100012,2020-04-15T10:52:48Z,2020-04-15T11:56:48Z
100012,2020-04-16T06:23:32Z,2020-04-16T07:15:32Z
100012,2020-04-21T00:15:32Z,2020-04-21T01:03:32Z
100012,2020-04-23T08:16:51Z,2020-04-23T08:58:51Z
100012,2020-04-24T20:37:48Z,2020-04-24T21:04:48Z
100012,2020-04-27T17:47:00Z,2020-04-27T18:55:00Z
100012,2020-04-28T06:07:29Z,2020-04-28T07:46:29Z
100013,2020-04-01T06:11:12Z,2020-04-01T06:47:12Z
100013,2020-04-07T11:02:35Z,2020-04-07T12:56:35Z
100013,2020-04-11T04:51:50Z,2020-04-11T06:37:50Z
100013,2020-04-15T07:40:34Z,2020-04-15T09:00:34Z
100013,2020-04-18T03:41:07Z,2020-04-18T04:22:07Z
100013,2020-04-18T21:10:44Z,2020-04-18T21:43:44Z
100013,2020-04-20T19:47:15Z,2020-04-20T20:47:15Z
100013,2020-04-20T21:12:01Z,2020-04-20T22:34:01Z
100013,2020-04-27T18:54:49Z,2020-04-27T20:54:49Z
100014,2020-04-01T03:03:20Z,2020-04-01T04:36:20Z
100014,2020-04-03T12:08:46Z,2020-04-03T12:34:46Z
100014,2020-04-07T12:11:59Z,2020-04-07T13:49:59Z
100014,2020-04-16T02:37:27Z,2020-04-16T03:52:27Z
100014,2020-04-27T09:33:31Z,2020-04-27T10:17:31Z
100015,2020-04-02T10:09:46Z,2020-04-02T10:32:46Z
100015,2020-04-04T08:50:55Z,2020-04-04T10:02:55Z
100015,2020-04-07T06:16:17Z,2020-04-07T07:18:17Z
100015,2020-04-07T16:14:09Z,2020-04-07T17:01:09Z
100015,2020-04-09T18:48:49Z,2020-04-09T19:59:49Z
100015,2020-04-09T22:53:33Z,2020-04-09T23:14:33Z
100015,2020-04-10T01:52:02Z,2020-04-10T03:47:02Z
100015,2020-04-11T04:19:19Z,2020-04-11T04:53:19Z
100015,2020-04-14T06:37:50Z,2020-04-14T07:15:50Z
100015,2020-04-17T16:51:06Z,2020-04-17T17:44:06Z
100015,2020-04-23T23:14:38Z,2020-04-24T00:07:38Z
100015,2020-04-25T03:30:26Z,2020-04-25T05:06:26Z
100015,2020-04-25T21:57:33Z,2020-04-25T22:55:33Z
100015,2020-04-28T21:32:48Z,2020-04-28T23:01:48Z
100016,2020-04-07T14:30:29Z,2020-04-07T15:13:29Z
100016,2020-04-07T14:52:55Z,2020-04-07T16:37:55Z
100016,2020-04-09T12:48:11Z,2020-04-09T13:35:11Z
100016,2020-04-21T09:30:15Z,2020-04-21T10:53:15Z
100016,2020-04-23T05:43:02Z,2020-04-23T06:29:02Z
100016,2020-04-24T23:39:29Z,2020-04-25T00:22:29Z
100016,2020-04-26T12:16:56Z,2020-04-26T13:48:56Z
100016,2020-04-28T06:09:30Z,2020-04-28T07:56:30Z
100016,2020-04-29T00:51:07Z,2020-04-29T01:41:07Z
100016,2020-04-30T06:41:16Z,2020-04-30T07:59:16Z
100017,2020-04-01T11:42:45Z,2020-04-01T13:33:45Z
100017,2020-04-02T07:47:37Z,2020-04-02T08:18:37Z
100017,2020-04-05T10:21:30Z,2020-04-05T10:45:30Z
100017,2020-04-07T16:47:02Z,2020-04-07T17:16:02Z
100017,2020-04-08T23:31:31Z,2020-04-09T00:58:31Z
100017,2020-04-12T02:56:00Z,2020-04-12T04:18:00Z
100017,2020-04-14T09:18:45Z,2020-04-14T09:49:45Z
100017,2020-04-19T17:07:21Z,2020-04-19T18:40:21Z
100017,2020-04-20T07:49:28Z,2020-04-20T09:19:28Z
100017,2020-04-22T17:29:42Z,2020-04-22T18:31:42Z
100017,2020-04-23T14:06:21Z,2020-04-23T14:38:21Z
100017,2020-04-23T21:39:45Z,2020-04-23T22:07:45Z
100017,2020-04-25T11:17:51Z,2020-04-25T12:06:51Z
100017,2020-04-25T17:46:22Z,2020-04-25T18:12:22Z
100018,2020-04-03T07:50:22Z,2020-04-03T09:04:22Z
100018,2020-04-06T11:05:46Z,2020-04-06T11:44:46Z
100018,2020-04-10T14:51:23Z,2020-04-10T15:38:23Z
100018,2020-04-21T03:54:44Z,2020-04-21T04:18:44Z
100018,2020-04-21T13:45:58Z,2020-04-21T15:34:58Z
100018,2020-04-28T17:50:45Z,2020-04-28T18:40:45Z
100019,2020-04-01T15:53:50Z,2020-04-01T16:52:50Z
100019,2020-04-01T23:01:33Z,2020-04-01T23:49:33Z
100019,2020-04-05T15:21:19Z,2020-04-05T16:17:19Z
100019,2020-04-05T17:20:56Z,2020-04-05T18:27:56Z
100019,2020-04-06T15:53:37Z,2020-04-06T16:19:37Z
100019,2020-04-09T15:50:24Z,2020-04-09T16:29:24Z
100019,2020-04-11T03:37:26Z,2020-04-11T05:00:26Z
100019,2020-04-12T20:04:18Z,2020-04-12T21:47:18Z
100019,2020-04-18T00:18:12Z,2020-04-18T00:56:12Z
100019,2020-04-21T08:20:39Z,2020-04-21T10:00:39Z
100019,2020-04-23T10:01:16Z,2020-04-23T11:25:16Z
100019,2020-04-24T00:53:35Z,2020-04-24T01:38:35Z
100019,2020-04-26T01:41:58Z,2020-04-26T02:57:58Z
100019,2020-04-30T07:58:47Z,2020-04-30T08:59:47Z
100020,2020-04-02T02:30:41Z,2020-04-02T04:05:41Z
100020,2020-04-18T15:36:19Z,2020-04-18T16:00:19Z
100020,2020-04-20T12:36:48Z,2020-04-20T13:35:48Z
100020,2020-04-26T10:10:55Z,2020-04-26T11:39:55Z
100020,2020-04-26T20:35:12Z,2020-04-26T22:14:12Z
100020,2020-04-27T02:24:04Z,2020-04-27T03:05:04Z
100021,2020-04-03T21:32:09Z,2020-04-03T23:10:09Z
100021,2020-04-04T12:39:29Z,2020-04-04T13:31:29Z
100021,2020-04-08T18:01:02Z,2020-04-08T19:30:02Z
100021,2020-04-11T15:37:24Z,2020-04-11T16:39:24Z
100021,2020-04-15T11:00:21Z,2020-04-15T11:46:21Z
100021,2020-04-17T09:17:47Z,2020-04-17T10:56:47Z
100021,2020-04-21T10:24:43Z,2020-04-21T12:24:43Z
100021,2020-04-27T00:23:16Z,2020-04-27T01:15:16Z
100022,2020-04-02T12:10:20Z,2020-04-02T13:57:20Z
100022,2020-04-05T04:32:39Z,2020-04-05T05:22:39Z
100022,2020-04-06T03:35:52Z,2020-04-06T04:06:52Z
100022,2020-04-08T06:24:43Z,2020-04-08T07:36:43Z
100022,2020-04-08T15:44:53Z,2020-04-08T16:04:53Z
100022,2020-04-11T15:08:10Z,2020-04-11T16:14:10Z
100022,2020-04-12T03:30:14Z,2020-04-12T03:54:14Z
100022,2020-04-13T05:20:47Z,2020-04-13T06:13:47Z
100022,2020-04-23T09:47:09Z,2020-04-23T10:21:09Z
100022,2020-04-26T09:56:17Z,2020-04-26T11:43:17Z
100023,2020-04-05T13:22:41Z,2020-04-05T15:08:41Z
100023,2020-04-12T11:50:24Z,2020-04-12T13:00:24Z
100023,2020-04-26T10:40:58Z,2020-04-26T12:16:58Z
100024,2020-04-02T21:25:22Z,2020-04-02T22:36:22Z
100024,2020-04-07T14:44:58Z,2020-04-07T15:50:58Z
100024,2020-04-09T07:19:02Z,2020-04-09T07:47:02Z
100024,2020-04-10T18:14:28Z,2020-04-10T19:16:28Z
100024,2020-04-11T18:58:04Z,2020-04-11T20:28:04Z
100024,2020-04-26T01:45:35Z,2020-04-26T03:01:35Z
100025,2020-04-03T13:53:22Z,2020-04-03T15:19:22Z
100025,2020-04-04T09:33:01Z,2020-04-04T10:00:01Z
100025,2020-04-04T14:18:29Z,2020-04-04T15:40:29Z
100025,2020-04-07T06:54:01Z,2020-04-07T08:44:01Z
100025,2020-04-07T16:56:14Z,2020-04-07T18:34:14Z
100025,2020-04-08T19:46:03Z,2020-04-08T20:12:03Z
100025,2020-04-10T00:44:25Z,2020-04-10T02:02:25Z
100025,2020-04-12T06:23:31Z,2020-04-12T07:33:31Z
100025,2020-04-12T15:01:03Z,2020-04-12T16:54:03Z
100025,2020-04-12T21:43:58Z,2020-04-12T23:16:58Z
100025,2020-04-13T04:16:17Z,2020-04-13T05:08:17Z
100025,2020-04-16T07:02:41Z,2020-04-16T08:43:41Z
100025,2020-04-19T00:35:31Z,2020-04-19T01:55:31Z
100025,2020-04-21T02:56:50Z,2020-04-21T04:52:50Z
100025,2020-04-26T17:10:41Z,2020-04-26T18:59:41Z
100025,2020-04-29T14:07:52Z,2020-04-29T15:26:52Z
100025,2020-04-29T17:47:16Z,2020-04-29T18:55:16Z
100025,2020-04-30T10:17:39Z,2020-04-30T12:12:39Z
100026,2020-04-01T11:46:59Z,2020-04-01T12:24:59Z
100026,2020-04-01T17:52:31Z,2020-04-01T18:29:31Z
100026,2020-04-03T13:37:47Z,2020-04-03T14:02:47Z
100026,2020-04-06T03:11:50Z,2020-04-06T04:34:50Z
100026,2020-04-21T05:04:57Z,2020-04-21T06:15:57Z
100026,2020-04-23T04:44:21Z,2020-04-23T05:13:21Z
100027,2020-04-03T04:22:06Z,2020-04-03T05:03:06Z
100027,2020-04-08T06:17:38Z,2020-04-08T07:03:38Z
100027,2020-04-21T03:48:27Z,2020-04-21T05:01:27Z
100027,2020-04-26T19:08:48Z,2020-04-26T21:06:48Z
100027,2020-04-29T02:06:17Z,2020-04-29T02:30:17Z
100027,2020-04-29T10:15:14Z,2020-04-29T11:13:14Z
100027,2020-04-30T21:33:42Z,2020-04-30T22:41:42Z
100028,2020-04-03T16:03:08Z,2020-04-03T17:34:08Z
100028,2020-04-04T23:48:58Z,2020-04-05T00:54:58Z
100028,2020-04-06T09:01:09Z,2020-04-06T10:30:09Z
100028,2020-04-10T18:07:10Z,2020-04-10T19:38:10Z
100028,2020-04-10T18:12:20Z,2020-04-10T18:43:20Z
100028,2020-04-10T22:40:53Z,2020-04-10T23:13:53Z
100028,2020-04-12T03:45:50Z,2020-04-12T05:36:50Z
100028,2020-04-12T12:53:09Z,2020-04-12T14:49:09Z
100028,2020-04-13T20:03:44Z,2020-04-13T20:51:44Z
100028,2020-04-15T00:37:23Z,2020-04-15T01:52:23Z
100028,2020-04-27T01:28:43Z,2020-04-27T03:13:43Z
100029,2020-04-02T18:54:13Z,2020-04-02T19:28:13Z
100029,2020-04-05T06:08:10Z,2020-04-05T07:52:10Z
100029,2020-04-06T11:56:54Z,2020-04-06T13:55:54Z
100029,2020-04-06T14:25:53Z,2020-04-06T15:47:53Z
100029,2020-04-07T14:05:42Z,2020-04-07T15:43:42Z
100029,2020-04-09T04:19:13Z,2020-04-09T05:44:13Z
100029,2020-04-15T20:48:02Z,2020-04-15T21:29:02Z
100029,2020-04-17T01:21:44Z,2020-04-17T02:14:44Z
100029,2020-04-19T19:51:52Z,2020-04-19T20:34:52Z
100029,2020-04-27T18:35:28Z,2020-04-27T19:35:28Z
100029,2020-04-29T08:26:56Z,2020-04-29T09:45:56Z
100030,2020-04-01T05:38:45Z,2020-04-01T06:50:45Z
100030,2020-04-01T06:12:42Z,2020-04-01T06:32:42Z
100030,2020-04-01T16:03:00Z,2020-04-01T16:25:00Z
100030,2020-04-10T23:45:34Z,2020-04-11T01:31:34Z
100030,2020-04-11T16:46:16Z,2020-04-11T17:57:16Z
100030,2020-04-13T09:04:42Z,2020-04-13T10:15:42Z
100030,2020-04-15T06:23:34Z,2020-04-15T07:20:34Z
100030,2020-04-17T07:04:54Z,2020-04-17T09:03:54Z
100030,2020-04-18T01:55:07Z,2020-04-18T02:19:07Z
100030,2020-04-18T23:48:28Z,2020-04-19T00:11:28Z
100030,2020-04-19T12:11:07Z,2020-04-19T14:07:07Z
100030,2020-04-21T01:45:38Z,2020-04-21T02:21:38Z
100030,2020-04-23T17:13:51Z,2020-04-23T18:10:51Z
100030,2020-04-25T10:01:25Z,2020-04-25T11:49:25Z
100030,2020-04-25T13:31:10Z,2020-04-25T15:12:10Z
100031,2020-04-06T13:15:11Z,2020-04-06T15:07:11Z
100031,2020-04-06T14:48:11Z,2020-04-06T16:15:11Z
100031,2020-04-08T19:00:44Z,2020-04-08T20:45:44Z
100031,2020-04-16T14:34:22Z,2020-04-16T16:26:22Z
100031,2020-04-19T14:02:35Z,2020-04-19T15:33:35Z
100031,2020-04-23T06:59:38Z,2020-04-23T08:01:38Z
100031,2020-04-25T03:20:44Z,2020-04-25T03:57:44Z
100031,2020-04-26T18:33:51Z,2020-04-26T20:28:51Z
100031,2020-04-29T12:37:34Z,2020-04-29T13:59:34Z
100032,2020-04-04T00:20:17Z,2020-04-04T01:50:17Z
100032,2020-04-10T14:30:33Z,2020-04-10T15:17:33Z
100032,2020-04-12T19:18:51Z,2020-04-12T20:35:51Z
100032,2020-04-12T19:44:37Z,2020-04-12T20:47:37Z
100032,2020-04-15T00:04:08Z,2020-04-15T00:32:08Z
100032,2020-04-15T06:11:37Z,2020-04-15T06:41:37Z
100032,2020-04-20T00:05:35Z,2020-04-20T01:14:35Z
100032,2020-04-22T01:31:18Z,2020-04-22T03:04:18Z
100032,2020-04-22T05:37:50Z,2020-04-22T06:21:50Z
100032,2020-04-23T04:47:27Z,2020-04-23T05:55:27Z
100032,2020-04-24T12:15:58Z,2020-04-24T13:04:58Z
100032,2020-04-26T12:09:13Z,2020-04-26T13:03:13Z
100033,2020-04-03T20:11:56Z,2020-04-03T21:30:56Z
100033,2020-04-11T21:00:49Z,2020-04-11T21:34:49Z
100033,2020-04-13T07:08:21Z,2020-04-13T08:05:21Z
100034,2020-04-02T00:31:40Z,2020-04-02T02:14:40Z
100034,2020-04-05T05:20:30Z,2020-04-05T06:22:30Z
100034,2020-04-13T03:06:37Z,2020-04-13T03:59:37Z
100034,2020-04-13T10:46:03Z,2020-04-13T11:43:03Z
100034,2020-04-16T08:40:30Z,2020-04-16T10:11:30Z
100034,2020-04-18T08:25:44Z,2020-04-18T08:58:44Z
100034,2020-04-19T20:12:58Z,2020-04-19T21:29:58Z
100034,2020-04-20T00:43:33Z,2020-04-20T02:35:33Z
100034,2020-04-21T02:57:13Z,2020-04-21T04:57:13Z
100034,2020-04-21T03:56:43Z,2020-04-21T04:31:43Z
100034,2020-04-22T20:48:58Z,2020-04-22T22:25:58Z
100034,2020-04-23T07:10:19Z,2020-04-23T08:22:19Z
100035,2020-04-03T22:09:20Z,2020-04-03T23:48:20Z
100035,2020-04-07T23:42:53Z,2020-04-08T00:39:53Z
100035,2020-04-08T23:13:29Z,2020-04-09T00:17:29Z
100035,2020-04-12T08:01:58Z,2020-04-12T09:31:58Z
100035,2020-04-17T02:33:28Z,2020-04-17T03:50:28Z
100035,2020-04-18T08:51:09Z,2020-04-18T10:20:09Z
100035,2020-04-18T15:59:01Z,2020-04-18T17:55:01Z
100035,2020-04-22T22:22:48Z,2020-04-22T23:15:48Z
100035,2020-04-25T23:40:54Z,2020-04-26T00:47:54Z
100035,2020-04-29T14:19:46Z,2020-04-29T16:00:46Z
100035,2020-04-30T07:28:00Z,2020-04-30T08:04:00Z
100036,2020-04-06T22:00:00Z,2020-04-06T23:59:00Z
100036,2020-04-09T13:13:02Z,2020-04-09T14:36:02Z
100036,2020-04-09T16:24:46Z,2020-04-09T18:09:46Z
100036,2020-04-11T01:42:26Z,2020-04-11T02:43:26Z
100036,2020-04-14T11:54:22Z,2020-04-14T13:06:22Z
100036,2020-04-19T13:34:32Z,2020-04-19T15:27:32Z
100036,2020-04-20T03:35:31Z,2020-04-20T05:34:31Z
100036,2020-04-20T14:43:28Z,2020-04-20T15:56:28Z
100036,2020-04-21T01:49:14Z,2020-04-21T03:41:14Z
100036,2020-04-22T15:20:00Z,2020-04-22T17:13:00Z
100036,2020-04-24T09:03:36Z,2020-04-24T10:40:36Z
100036,2020-04-29T11:51:35Z,2020-04-29T13:31:35Z
100037,2020-04-04T07:08:21Z,2020-04-04T08:55:21Z
100037,2020-04-06T07:38:44Z,2020-04-06T09:05:44Z
100037,2020-04-07T12:14:13Z,2020-04-07T12:45:13Z
100037,2020-04-07T18:51:55Z,2020-04-07T20:22:55Z
100037,2020-04-11T18:33:13Z,2020-04-11T19:39:13Z
100037,2020-04-12T14:51:05Z,2020-04-12T15:40:05Z
100037,2020-04-13T11:10:01Z,2020-04-13T12:27:01Z
100037,2020-04-16T12:04:12Z,2020-04-16T13:54:12Z
100037,2020-04-17T06:18:26Z,2020-04-17T07:45:26Z
100037,2020-04-18T00:08:22Z,2020-04-18T01:21:22Z
100037,2020-04-20T08:00:53Z,2020-04-20T09:19:53Z
100037,2020-04-21T08:12:52Z,2020-04-21T09:23:52Z
100037,2020-04-23T18:24:51Z,2020-04-23T20:09:51Z
100037,2020-04-24T21:59:17Z,2020-04-24T23:50:17Z
100037,2020-04-25T03:49:43Z,2020-04-25T04:30:43Z
100037,2020-04-28T16:21:42Z,2020-04-28T17:32:42Z
100037,2020-04-28T16:42:04Z,2020-04-28T18:32:04Z
100038,2020-04-01T22:14:10Z,2020-04-02T00:05:10Z
100038,2020-04-06T17:43:26Z,2020-04-06T18:20:26Z
100038,2020-04-11T17:38:58Z,2020-04-11T19:08:58Z
100038,2020-04-12T00:56:55Z,2020-04-12T02:54:55Z
100038,2020-04-12T23:50:13Z,2020-04-13T01:37:13Z
100038,2020-04-16T14:10:20Z,2020-04-16T14:59:20Z
100038,2020-04-18T19:06:46Z,2020-04-18T20:25:46Z
100038,2020-04-18T23:34:14Z,2020-04-19T00:05:14Z
100038,2020-04-19T23:14:06Z,2020-04-19T23:43:06Z
100038,2020-04-20T16:29:51Z,2020-04-20T18:06:51Z
100038,2020-04-22T06:56:59Z,2020-04-22T08:25:59Z
100038,2020-04-29T05:42:12Z,2020-04-29T07:26:12Z
100038,2020-04-29T18:44:29Z,2020-04-29T20:33:29Z
100039,2020-04-07T22:34:45Z,2020-04-07T23:30:45Z
100039,2020-04-08T08:10:45Z,2020-04-08T10:08:45Z
100039,2020-04-10T15:50:31Z,2020-04-10T16:35:31Z
100039,2020-04-13T22:11:33Z,2020-04-13T23:24:33Z
100039,2020-04-14T22:59:56Z,2020-04-14T23:56:56Z
100039,2020-04-16T08:30:25Z,2020-04-16T09:45:25Z
100039,2020-04-18T06:31:28Z,2020-04-18T07:37:28Z
100039,2020-04-19T02:10:15Z,2020-04-19T02:57:15Z
100039,2020-04-20T03:26:16Z,2020-04-20T03:59:16Z
100039,2020-04-23T21:39:28Z,2020-04-23T22:50:28Z
100039,2020-04-24T07:10:22Z,2020-04-24T09:01:22Z
100039,2020-04-27T05:42:23Z,2020-04-27T06:04:23Z
100040,2020-04-08T20:52:43Z,2020-04-08T22:04:43Z
100040,2020-04-09T05:30:56Z,2020-04-09T07:18:56Z
100040,2020-04-11T03:20:06Z,2020-04-11T03:57:06Z
100040,2020-04-11T21:55:47Z,2020-04-11T23:26:47Z
100040,2020-04-17T11:11:20Z,2020-04-17T12:47:20Z
100040,2020-04-17T15:44:58Z,2020-04-17T16:12:58Z
100040,2020-04-19T20:06:15Z,2020-04-19T21:38:15Z
100040,2020-04-24T04:12:46Z,2020-04-24T05:12:46Z
100040,2020-04-26T04:17:59Z,2020-04-26T04:53:59Z
100040,2020-04-26T14:37:24Z,2020-04-26T15:48:24Z
100040,2020-04-27T07:57:22Z,2020-04-27T08:19:22Z
100040,2020-04-27T09:01:32Z,2020-04-27T10:01:32Z
100040,2020-04-27T10:13:31Z,2020-04-27T12:08:31Z
100040,2020-04-29T08:51:53Z,2020-04-29T09:44:53Z
100041,2020-04-03T21:42:36Z,2020-04-03T22:31:36Z
100041,2020-04-04T20:52:41Z,2020-04-04T21:16:41Z
100041,2020-04-10T22:00:36Z,2020-04-10T23:09:36Z
100041,2020-04-12T17:26:00Z,2020-04-12T17:55:00Z
